[0.11562244 0.1404376  1.5950995 ]
[0.11112896 0.17273916 1.56247976]
[0.10822511 0.19272497 1.53716571]
[0.10445382 0.21798501 1.49783532]
[0.09973499 0.24639204 1.43960806]
[0.09418786 0.27485126 1.36040298]
[0.08927287 0.29544748 1.28605611]
[0.08580983 0.32368342 1.19002832]
[0.08855379 0.34930836 1.13049112]
[0.09671896 0.37869174 1.08513827]
[0.11266958 0.42015089 1.03355366]
[0.13174809 0.46167136 0.98878329]
[0.15664034 0.50902509 0.93852154]
[0.1825192  0.55144374 0.89816687]
[0.21858359 0.60241415 0.86184111]
[0.25765438 0.65277849 0.82998993]
[0.30102386 0.70452827 0.79893025]
[0.3535887  0.76500417 0.75191284]
[0.39944504 0.81291885 0.7204566 ]
[0.45347823 0.85946309 0.72626238]
[0.50918616 0.90455835 0.7602935 ]
[0.57098831 0.9548419  0.8250125 ]
[0.6197295  0.99682859 0.89774263]
[0.67774643 1.05377488 1.0053953 ]
[0.7244425  1.10784026 1.10925723]
[0.77832845 1.18307519 1.22423515]
[0.82003714 1.2668999  1.32247237]
[0.85246326 1.35124622 1.4069996 ]
[0.88184336 1.4463196  1.48009828]
[0.89861105 1.53310481 1.50050558]
[0.91311516 1.65059635 1.48028783]
[0.92084194 1.73699929 1.44497152]
[0.9292905  1.83430472 1.395244  ]
[0.94110794 1.93260852 1.32929178]
[0.95774357 2.03393547 1.23358541]
[0.97939677 2.13061077 1.11477786]
[1.00801457 2.21558503 1.00888803]
[1.05031812 2.31674797 0.88040012]
[1.09769949 2.41325148 0.75112429]
[1.14205387 2.48483558 0.64419632]
[1.19056133 2.55164349 0.54235735]
[1.2625067  2.63275921 0.42367134]
[1.31685917 2.68564442 0.36444701]
[1.37641884 2.73761976 0.30596484]
[1.43180309 2.78188094 0.22079326]
[1.48759864 2.82296207 0.10157184]
[ 1.52858979  2.85083881 -0.00743485]
[ 1.56734241  2.87504099 -0.13074841]
[ 1.59531117  2.89071271 -0.24700823]
[ 1.60983187  2.90057983 -0.34996795]
[ 1.61598248  2.91502955 -0.46895648]
[ 1.61420962  2.92931416 -0.55599478]
